"ID";"TIME";"STATUS"
"448";"2024-06-20 16:37:24";"F_OFF"
"449";"2024-06-20 16:37:36";"F_ON"
"450";"2024-06-20 16:37:42";"F_OFF"
"451";"2024-06-20 16:37:48";"F_ON"
"452";"2024-06-20 16:47:20";"F_OFF"
"453";"2024-06-20 16:47:26";"F_ON"
"454";"2024-06-20 16:47:32";"F_OFF"
"455";"2024-06-20 16:58:46";"F_ON"
"456";"2024-06-20 16:58:55";"F_OFF"
"457";"2024-06-20 16:59:11";"F_ON"
"458";"2024-06-20 16:59:19";"F_OFF"
"459";"2024-06-20 16:59:25";"F_ON"
"460";"2024-06-20 16:59:33";"F_OFF"
"461";"2024-06-20 16:59:40";"F_ON"
"462";"2024-06-20 20:15:45";"F_OFF"
"463";"2024-06-20 20:15:51";"F_ON"
"464";"2024-06-20 20:16:00";"F_OFF"
"465";"2024-06-20 20:16:20";"F_ON"
"466";"2024-06-20 20:16:28";"F_OFF"
"467";"2024-06-20 23:56:16";"F_ON"
"468";"2024-06-20 23:56:24";"F_OFF"
"469";"2024-06-21 00:13:48";"F_ON"
"470";"2024-06-21 00:13:54";"F_OFF"
"471";"2024-06-21 00:14:19";"F_ON"
"472";"2024-06-21 00:14:27";"F_OFF"
"473";"2024-06-21 00:14:43";"F_ON"
"474";"2024-06-21 00:14:51";"F_OFF"
"475";"2024-06-21 00:14:57";"F_ON"
"476";"2024-06-21 00:15:03";"F_OFF"
"477";"2024-06-21 00:15:18";"F_ON"
"478";"2024-06-21 00:15:26";"F_OFF"
"479";"2024-06-21 00:15:32";"F_ON"
"480";"2024-06-21 00:15:40";"F_OFF"
"481";"2024-06-21 00:15:46";"F_ON"
"482";"2024-06-21 00:15:53";"F_OFF"
"483";"2024-06-21 07:57:11";"F_ON"
"484";"2024-06-21 07:57:17";"F_OFF"
"485";"2024-06-21 07:58:22";"F_ON"
"486";"2024-06-21 07:58:28";"F_OFF"
"487";"2024-06-21 07:59:19";"F_ON"
"488";"2024-06-21 07:59:25";"F_OFF"
"489";"2024-06-21 07:59:56";"F_ON"
"490";"2024-06-21 08:00:03";"F_OFF"
"491";"2024-06-21 08:00:27";"F_ON"
"492";"2024-06-21 08:00:35";"F_OFF"
"493";"2024-06-21 08:01:41";"F_ON"
"494";"2024-06-21 08:01:49";"F_OFF"
"495";"2024-06-21 08:02:10";"F_ON"
"496";"2024-06-21 08:02:16";"F_OFF"
"497";"2024-06-21 08:02:47";"F_ON"
"498";"2024-06-21 08:02:54";"F_OFF"
"499";"2024-06-21 08:03:25";"F_ON"
"500";"2024-06-21 08:03:33";"F_OFF"
"501";"2024-06-21 08:04:06";"F_ON"
"502";"2024-06-21 08:04:12";"F_OFF"
"503";"2024-06-21 08:04:41";"F_ON"
"504";"2024-06-21 08:04:47";"F_OFF"
"505";"2024-06-21 08:05:10";"F_ON"
"506";"2024-06-21 08:05:18";"F_OFF"
"507";"2024-06-21 08:05:40";"F_ON"
"508";"2024-06-21 08:05:48";"F_OFF"
"509";"2024-06-21 08:07:01";"F_ON"
"510";"2024-06-21 08:07:09";"F_OFF"
"511";"2024-06-21 08:07:25";"F_ON"
"512";"2024-06-21 08:07:33";"F_OFF"
"513";"2024-06-21 08:08:00";"F_ON"
"514";"2024-06-21 08:08:08";"F_OFF"
"515";"2024-06-21 08:08:21";"F_ON"
"516";"2024-06-21 08:08:28";"F_OFF"
"517";"2024-06-21 08:08:41";"F_ON"
"518";"2024-06-21 08:08:48";"F_OFF"
"519";"2024-06-21 08:09:05";"F_ON"
"520";"2024-06-21 08:09:13";"F_OFF"
"521";"2024-06-21 08:09:19";"F_ON"
"522";"2024-06-21 08:09:25";"F_OFF"
"523";"2024-06-21 08:09:53";"F_ON"
"524";"2024-06-21 08:09:59";"F_OFF"
"525";"2024-06-21 08:10:14";"F_ON"
"526";"2024-06-21 08:10:21";"F_OFF"
"527";"2024-06-21 08:10:39";"F_ON"
"528";"2024-06-21 08:10:47";"F_OFF"
"529";"2024-06-21 08:11:00";"F_ON"
"530";"2024-06-21 08:11:06";"F_OFF"
"531";"2024-06-21 08:11:13";"F_ON"
"532";"2024-06-21 08:11:19";"F_OFF"
"533";"2024-06-21 08:11:41";"F_ON"
"534";"2024-06-21 08:11:49";"F_OFF"
"535";"2024-06-21 08:11:56";"F_ON"
"536";"2024-06-21 08:12:02";"F_OFF"
"537";"2024-06-21 08:12:21";"F_ON"
"538";"2024-06-21 08:12:29";"F_OFF"
"539";"2024-06-21 08:12:44";"F_ON"
"540";"2024-06-21 08:12:52";"F_OFF"
"541";"2024-06-21 08:12:58";"F_ON"
"542";"2024-06-21 08:13:04";"F_OFF"
"543";"2024-06-21 08:13:23";"F_ON"
"544";"2024-06-21 08:13:30";"F_OFF"
"545";"2024-06-21 08:13:49";"F_ON"
"546";"2024-06-21 08:13:57";"F_OFF"
"547";"2024-06-21 08:14:04";"F_ON"
"548";"2024-06-21 08:14:10";"F_OFF"
"549";"2024-06-21 08:14:30";"F_ON"
"550";"2024-06-21 08:14:38";"F_OFF"
"551";"2024-06-21 08:14:44";"F_ON"
"552";"2024-06-21 08:14:51";"F_OFF"
"553";"2024-06-21 08:15:08";"F_ON"
"554";"2024-06-21 08:15:16";"F_OFF"
"555";"2024-06-21 08:15:23";"F_ON"
"556";"2024-06-21 08:15:31";"F_OFF"
"557";"2024-06-21 08:15:45";"F_ON"
"558";"2024-06-21 08:15:54";"F_OFF"
"559";"2024-06-21 08:16:00";"F_ON"
